positive_50x50\0.jpg 1 2 8 45 32
positive_50x50\1.jpg 1 2 10 46 29
positive_50x50\10.jpg 1 2 3 45 43
positive_50x50\100.jpg 1 1 3 47 43
positive_50x50\1000.jpg 1 2 7 45 35
positive_50x50\1001.jpg 1 2 7 46 35
positive_50x50\1002.jpg 1 1 8 46 33
positive_50x50\1003.jpg 1 2 6 45 38
positive_50x50\1004.jpg 1 2 8 45 34
positive_50x50\1005.jpg 1 2 8 45 34
positive_50x50\1006.jpg 1 1 6 47 37
positive_50x50\1007.jpg 1 1 6 47 36
positive_50x50\1008.jpg 1 5 1 40 46
positive_50x50\1009.jpg 1 2 6 45 39
positive_50x50\101.jpg 1 1 6 47 39
positive_50x50\1010.jpg 1 2 5 45 39
positive_50x50\1011.jpg 1 2 8 45 33
positive_50x50\1012.jpg 1 2 5 45 40
positive_50x50\1013.jpg 1 2 4 46 42
positive_50x50\1014.jpg 1 2 5 46 40
positive_50x50\1015.jpg 1 1 2 47 46
positive_50x50\1016.jpg 1 2 4 45 42
positive_50x50\1017.jpg 1 2 6 46 36
positive_50x50\1018.jpg 1 2 4 46 41
positive_50x50\1019.jpg 1 2 6 45 37
positive_50x50\102.jpg 1 2 6 46 38
positive_50x50\1020.jpg 1 2 7 45 35
positive_50x50\1021.jpg 1 2 4 46 41
positive_50x50\1022.jpg 1 2 4 45 41
positive_50x50\1023.jpg 1 2 7 45 36
positive_50x50\1024.jpg 1 2 7 46 34
positive_50x50\1025.jpg 1 2 7 45 35
positive_50x50\1026.jpg 1 2 7 45 35
positive_50x50\1027.jpg 1 2 8 45 34
positive_50x50\1028.jpg 1 2 8 45 34
positive_50x50\1029.jpg 1 1 7 47 35
positive_50x50\103.jpg 1 2 5 45 40
positive_50x50\1030.jpg 1 2 8 45 33
positive_50x50\1031.jpg 1 2 7 45 36
positive_50x50\1032.jpg 1 2 8 46 35
positive_50x50\1033.jpg 1 2 8 46 34
positive_50x50\1034.jpg 1 1 8 47 33
positive_50x50\1035.jpg 1 1 5 47 39
positive_50x50\1036.jpg 1 2 7 46 35
positive_50x50\1037.jpg 1 2 1 45 46
positive_50x50\1038.jpg 1 1 7 47 35
positive_50x50\1039.jpg 1 2 7 45 36
positive_50x50\104.jpg 1 2 5 46 39
positive_50x50\1040.jpg 1 2 7 46 36
positive_50x50\1041.jpg 1 2 9 45 32
positive_50x50\1042.jpg 1 2 5 46 40
positive_50x50\1043.jpg 1 2 7 46 35
positive_50x50\1044.jpg 1 1 4 47 42
positive_50x50\1045.jpg 1 2 7 46 36
positive_50x50\1046.jpg 1 1 8 47 34
positive_50x50\1047.jpg 1 1 4 47 41
positive_50x50\1048.jpg 1 2 7 46 36
positive_50x50\1049.jpg 1 1 8 47 33
positive_50x50\105.jpg 1 1 3 47 43
